"Title","Date_received","Opinion","Number_of_Findings","Nature_of_Findings",
"7076-A - Academy for Technology and the Classics (2008)","2010-01-15","Unqualified","0","",
"7076-A - Academy for Technology and the Classics (2009)","2010-06-23","Unqualified","0","",
"7076-A - Academy for Technology and the Classics (2010)","2011-05-31","In review","0","",
"216-A - Administrative Office of the Courts (1999)","1999-01-01","Unqualified","18","Budget, Purchasing (3)Cash Reconciliations, (2)Voucher Tests, O/S Bonds, Pay agreements, MIS, Reimb., (3) Reporting, Cash Management, (3)Single Audit ",
"216-A - Administrative Office of the Courts (2000)","2000-01-01","Unqualified","14","(6)Prior Year (1)Material Weakness (1)Reversion (1)Matching (1)Comp. Absences (1)Payroll (1)Cash Management (1)Encumbrances (1)Expenditures ",
"216-A - Administrative Office of the Courts (2001)","2001-12-17","Unqualified","11","(8)Prior year - Budget Over Expenditures/Reversion/Daily Deposit of Cash/Bonds Outstanding Over Six Months/Control of receipts/Agreements to Pay/FACTS System/Fund Reconciliations Current Year - (1)Cash Receipts (1)State Treasurer&#039;s Cash Reconciliation (1)Other Matters Deposits ",
"216-A - Administrative Office of the Courts (2002)","2002-12-16","Unqualified","17","CY (1) fixed capital asset records are inadequate, (3) purchase/procurement code violations, (1) accounting records were inadequate/out of balance, (1) payroll and payroll tax form irregularities, (1) required reports to oversight agency were filed late/never filed, (1) interfund payables/receivables not in balance, (1) transfer of funds out of magistrate penalty assessment fund, (1) segregation of duties - cash receipts, PY (3) accounting records were inadequate/out of balance, (1) expenditure documentation inadequate or erroneous, (1) bank accounts were not reconciled, (1) reversion not made timely, (1) deposits not made timely ",
"216-A - Administrative Office of the Courts (2003)","2003-12-15","Unqualified","7","7 PY - (1)Daily deposit of cash - Magistrate courts. (1)Bonds outstanding over six months and other bond issues. (1)Agreements to pay and case file errors. (1)FACTS System. (1)Fixed assets Magistrate Courts. (1)Segregation of duties. (1)Timely submission of monthly remittance report. ",
"216-A - Administrative Office of the Courts (2004)","2004-12-14","Unqualified","10","6 PY - (1)Daily deposits of cash - Magistrate Courts. (1)Bonds outstanding over six months. (1)Agreements to pay and DMV abstracts. (1)FACT&#039;s system. (1)Segregation of duties. (1)Timely submission of monthly remittance report. - 4 CY - (1)Check signing - signature authority. (1)Encumbrances. (1)Budget adjustment requests. (1)Submission of agency reconciliations. ",
"216-A - Administrative Office of the Courts (2005)","2005-12-15","Unqualified","7","6 PY: 1) Daily deposit of cash - Magistrate Courts; 2) Bonds outstanding over six months &amp; other bond issues; 3) Agreements to pay &amp; DMV abstracts; 4) Segregation of duties; 5) Timely submission of monthly remittance report; 6) Budget adjustment requests. 1 CY: Magistrate Court mishandling of cash receipts.",
"216-A - Administrative Office of the Courts (2006)","2007-04-02","In review","0","",
"216-A - Administrative Office of the Courts (2007)","2008-03-11","Unqualified","11","PY&amp;CY-6 1)13 Magistrate Courts cash receipts revealed: 2 Courts had receipts that weren&#039;t deposited timely;1 instance of out of sequence receipts which had docuemtnation for a voided transaction but no supervisor approval; &amp; 2 courts had outstanding checks over 6 months old 2)2 instances bonds weren&#039;t refunded or forfeited per the 6 month rule &amp; other bond related issues 3)2 Courts of 13 tested didn&#039;t have adequate segregation of duties for cash receipts 4)4 of 13 Courts tested didn&#039;t submit the 1 monthly remittance report within the required 5 business days 5)7 of 13 Courts tested revealed that the outstanding fines &amp; fees receivable per the case files didn&#039;t tie to the related detail maintained per the Judicial Information Division (JID) 6)Late Audit Report CY-5 1)1 of 13 Courts tested revealed: that the Court&#039;s fee book didn&#039;t tie to the remittance reconciliation preparaed by the Administrative Office of the Courts 2)Internal control weakness in reconcilia",
"218 - Administrative Office of the Courts (2008)","2008-12-15","Unqualified","11","<p>PY&amp;CY-4 1)Cash controls-Magistrate Court 2)Bonds outstanding over six months and other Bond issues 3)Segregation of duties-mail receipts log and daily deposit verification 4)Outstanding fines and fees&nbsp; CY-7 1)Docuemntation in case file is incomplete 2)Mail handling procedures 3)Case file destruction 4)Maintenance of proper tickler system 5)Missing Bond receipt 6)Abstract not forwarded to DMV on time 7)Prior period restatement</p>",
"218 - Administrative Office of the Courts (2009)","2009-12-15","Unqualified","3","",
"218 - Administrative Office of the Courts (2010)","2010-12-15","Unqualified","5","",
"218 - Administrative Office of the Courts (2011)","2011-12-13","Unqualified","6","",
"264 - Administrative Office of the District Attorney (2001)","2001-12-17","Unqualified","2","(1)PY - Segregation of Duties CY(1)-Overexpended Budget Appropriation Unit ",
"264 - Administrative Office of the District Attorney (2002)","2002-12-16","Unqualified","5","CY (1) annual leave requests and timesheets, (1) federal programs - request for payments, (1) personnel files, (1) performance appraisals, (1) vehicle maintenance reports ",
"264 - Administrative Office of the District Attorney (2003)","2003-11-12","Unqualified","4","PY (1) annual leave request and timesheets, (1) Federal programs - request for payments, CY (1) recersions, (1) cash receipts - untimely deposits ",
"264 - Administrative Office of the District Attorney (2004)","2004-12-15","Unqualified","1","PY - (1)Untimely deposits of cash receipts. ",
"264 - Administrative Office of the District Attorney (2005)","2005-11-23","Unqualified","0","None",
"264 - Administrative Office of the District Attorney (2006)","2006-12-15","Unqualified","5","5 CY: 1) Timely deposits; 2) Notification of capital assets disposition; 3) Purchase of vehicles; 4) Safeguarding of capital assets; 5) Cellular telephone use.",
